name,begin_date,end_date,type,cancelled,disambiguation,setlist,time,edit_note,rel0_target,rel0_type,rel0_target_credit,rel1_target,rel1_type,rel1_target_credit,rel2_target,rel2_type,rel2_target_credit,rel3_target,rel3_type,rel3_target_credit,rel4_target,rel4_type,rel4_target_credit,rel5_target,rel5_type,rel5_target_credit,rel6_target,rel6_type,rel6_target_credit,rel7_target,rel7_type,rel7_target_credit,place_plain,main_performers_plain,supporting_acts_plain,supporting_act_1,supporting_act_2,supporting_act_3,supporting_act_4,supporting_act_5,supporting_act_6
Docents by Docents (by Docents) Release Show,2021-08-07,2021-08-07,3,,date uncertain in source,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Matt’s House,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,,,,,,,,,,,,,,,,,,,Matt’s House,Docents,,,,,,,
Docents at 18th Ward,2021-09-19,2021-09-19,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,18th Ward,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Soft Yes Band,492a850e-97eb-306a-a85e-4b6d98527796,,ETC,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,18th Ward,Docents,Soft Yes Band; ETC,Soft Yes Band,ETC,,,,
Docents at Matt’s House 418 MacDonough,2021-10-30,2021-10-30,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Matt’s House 418 MacDonough,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Shep Treasure,492a850e-97eb-306a-a85e-4b6d98527796,,Ingo Swan,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Matt’s House 418 MacDonough,Docents,Shep Treasure; Ingo Swan,Shep Treasure,Ingo Swan,,,,
Docents at Pianos,2021-11-12,2021-11-12,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Pianos,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Clifford,492a850e-97eb-306a-a85e-4b6d98527796,,Drobakid,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Pianos,Docents,Clifford; Drobakid,Clifford,Drobakid,,,,
Docents at Berlin,2021-12-12,2021-12-12,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Berlin,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Cindy Cane,492a850e-97eb-306a-a85e-4b6d98527796,,Ceremony East Coast,492a850e-97eb-306a-a85e-4b6d98527796,,Holy Wisdom LLC,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Berlin,Docents,Cindy Cane; Ceremony East Coast; Holy Wisdom LLC,Cindy Cane,Ceremony East Coast,Holy Wisdom LLC,,,
Docents at Mercury Lounge,2022-01-25,2022-01-25,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Mercury Lounge,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Aux Blood,492a850e-97eb-306a-a85e-4b6d98527796,,Libby Quinn,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Mercury Lounge,Docents,Aux Blood; Libby Quinn,Aux Blood,Libby Quinn,,,,
Docents at Berlin (Dedstrange Party),2022-03-09,2022-03-09,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Berlin (Dedstrange Party),e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Wah Together,492a850e-97eb-306a-a85e-4b6d98527796,,Gift,492a850e-97eb-306a-a85e-4b6d98527796,,Paul Jacobs,492a850e-97eb-306a-a85e-4b6d98527796,,Thus Love,492a850e-97eb-306a-a85e-4b6d98527796,,Dead Tooth,492a850e-97eb-306a-a85e-4b6d98527796,,Randy Randall (No Age),492a850e-97eb-306a-a85e-4b6d98527796,,Berlin (Dedstrange Party),Docents,Wah Together; Gift; Paul Jacobs; Thus Love; Dead Tooth; Randy Randall (No Age),Wah Together,Gift,Paul Jacobs,Thus Love,Dead Tooth,Randy Randall (No Age)
Docents at Arlene’s Grocery (New Colossus),2022-03-10,2022-03-10,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Arlene’s Grocery (New Colossus),e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Punchlove,492a850e-97eb-306a-a85e-4b6d98527796,,Jackie,492a850e-97eb-306a-a85e-4b6d98527796,,Sunglaciers,492a850e-97eb-306a-a85e-4b6d98527796,,Girl Skin,492a850e-97eb-306a-a85e-4b6d98527796,,Shower Curtain,492a850e-97eb-306a-a85e-4b6d98527796,,Holy Wisdom LLC,492a850e-97eb-306a-a85e-4b6d98527796,,Arlene’s Grocery (New Colossus),Docents,Punchlove; Jackie; Sunglaciers; Girl Skin; Shower Curtain; Holy Wisdom LLC,Punchlove,Jackie,Sunglaciers,Girl Skin,Shower Curtain,Holy Wisdom LLC
Docents at Bohemian Grove,2022-04-09,2022-04-09,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Bohemian Grove,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Unto,492a850e-97eb-306a-a85e-4b6d98527796,,Playshoes,492a850e-97eb-306a-a85e-4b6d98527796,,Bad Vacation,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Bohemian Grove,Docents,Unto; Playshoes; Bad Vacation,Unto,Playshoes,Bad Vacation,,,
Docents at Purgatory,2022-05-17,2022-05-17,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Purgatory,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Cryer 365,492a850e-97eb-306a-a85e-4b6d98527796,,Wild Irises,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Purgatory,Docents,Cryer 365; Wild Irises,Cryer 365,Wild Irises,,,,
Docents at Gold Sounds,2022-04-24,2022-04-24,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Gold Sounds,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Plastic Baby Jesus,492a850e-97eb-306a-a85e-4b6d98527796,,ETC,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Gold Sounds,Docents,Plastic Baby Jesus; ETC,Plastic Baby Jesus,ETC,,,,
Docents at Pelvic Floor (BOS),2022-06-12,2022-06-12,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Pelvic Floor (BOS),e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Tiberius,492a850e-97eb-306a-a85e-4b6d98527796,,Captain Vampire,492a850e-97eb-306a-a85e-4b6d98527796,,Fae Feral,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Pelvic Floor (BOS),Docents,Tiberius; Captain Vampire; Fae Feral,Tiberius,Captain Vampire,Fae Feral,,,
Docents at Alphaville,2022-10-11,2022-10-11,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Alphaville,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Zastava,492a850e-97eb-306a-a85e-4b6d98527796,,Holy Wisdom LLC,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Alphaville,Docents,Zastava; Holy Wisdom LLC,Zastava,Holy Wisdom LLC,,,,
Docents at Mercury Lounge,2022-10-23,2022-10-23,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Mercury Lounge,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Playshoes,492a850e-97eb-306a-a85e-4b6d98527796,,Human Man,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Mercury Lounge,Docents,Playshoes; Human Man,Playshoes,Human Man,,,,
Docents at Bushwick Public House,2022-12-02,2022-12-02,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Bushwick Public House,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Free Casino,492a850e-97eb-306a-a85e-4b6d98527796,,Safety Scissors,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Bushwick Public House,Docents,Free Casino; Safety Scissors,Free Casino,Safety Scissors,,,,
Docents at Purgatory,2023-01-31,2023-01-31,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Purgatory,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Libby Quinn,492a850e-97eb-306a-a85e-4b6d98527796,,Semi Auto,492a850e-97eb-306a-a85e-4b6d98527796,,Balaclava,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Purgatory,Docents,Libby Quinn; Semi Auto; Balaclava,Libby Quinn,Semi Auto,Balaclava,,,
